q_hip,q_thigh,q_calf,determinant,condition_number,rank,fd_jacobian_error,fd_spatial_jacobian_error,fd_body_jacobian_error,spatial_to_point_jacobian_error
0.7250218756244305,1.2404034451880537,-1.65923451588025,-0.00986513189474691,2.6000084187733266,3,3.9621369685919454e-11,1.421311691673238e-10,1.501003939583222e-10,3.469446951953614e-17
0.1358809761303894,1.1196066562107805,-0.9555409862419795,-0.009293909609744164,5.110478454536384,3,1.9108781466220377e-11,7.276680042856384e-11,6.471308651821645e-11,6.216630331064746e-17
-0.7337995845732541,2.8466175880340634,-2.22593527403276,0.0009092280163157017,9.14543943360325,3,4.2522621049264486e-11,2.2715605724658718e-10,1.9491789305661744e-10,2.8609792490763984e-17
-0.7051673147256153,-0.10707482916637778,-1.3597452240725576,-0.00858957904761491,3.3809210185888654,3,2.8144545309063146e-11,9.400109334360505e-11,9.95592509580277e-11,5.594315114139762e-17
0.6562580454208121,3.01274890425049,-2.189522938106041,0.0020323219434150923,4.2651134538229964,3,4.858653073464311e-11,2.6161393043208784e-10,2.62348201203153e-10,5.721958498152797e-17
-0.005550505878061829,-0.426841631929021,-1.9494714990137463,-0.0014055449729396818,7.790634388216086,3,5.80983705106053e-11,1.3641800493859503e-10,1.4557152268428708e-10,2.775578737305794e-17
-0.38883671317648705,-0.8816460155727758,-2.1781283266412093,0.002370058601234048,3.8576666834549433,3,3.577335460678161e-11,1.7360450728449442e-10,1.6683411054980942e-10,4.16423974613979e-17
0.6878620690209255,1.7316132014807466,-2.2090099188394774,-0.004678057803065567,2.1524474163593275,3,4.0320392083627943e-11,2.15069377858618e-10,2.090477923412872e-10,3.1031676915590914e-17
-0.6198526543983556,3.653755780937054,-2.5336441121831483,0.0019927702426009012,2.8845791769631095,3,3.6792850171068596e-11,2.737731170601289e-10,2.60578391908159e-10,3.98609107286759e-17
-0.7413396790524989,-0.4601410812332234,-1.3566796015604534,-0.005100328588852566,3.4277782522427303,3,4.7366923688992344e-11,1.222124922707032e-10,1.194509663981258e-10,6.245004513516506e-17
0.6970172591693856,-0.5461773117840185,-1.5610647531733928,-0.002747326937740968,5.060394165371651,3,4.395561184913632e-11,9.5807074561796e-11,1.0291343655012691e-10,4.163336342344337e-17
0.24408521330484578,1.708700181003294,-2.6896702108284716,-0.0014629291584501575,3.4563039215790172,3,4.2397510521170283e-11,1.9511396937979692e-10,2.0931616107866305e-10,2.0888836804026048e-17
0.3088027930218781,1.204948131760902,-1.0379419149848368,-0.009260165751430405,4.664501562525342,3,4.874711342698416e-11,1.4570908607127547e-10,1.60149281533428e-10,5.597004042492165e-17
