time,q_hip,q_thigh,q_calf,qd_hip,qd_thigh,qd_calf,dq_hip,dq_thigh,dq_calf,dqd_hip,dqd_thigh,dqd_calf,cmd_hip,cmd_thigh,cmd_calf,cmd_unsat_hip,cmd_unsat_thigh,cmd_unsat_calf,foot_x,foot_y,foot_z,foot_desired_x,foot_desired_y,foot_desired_z,pos_error_norm,vel_error_norm,foot_error_norm_m,command_saturated
1.8820000000000001,0.0715447677582721,0.9004643309342983,-1.4021905657115346,0.0800668310088049,0.9112039319566735,-1.3887960680433267,0.08240411146696756,0.11480845928463912,0.11409801877966678,0.08378860365233434,0.11637306062824215,0.11637306062824215,0.08322531198724835,0.11615097177267429,0.11558784364761197,0.08322531198724835,0.11615097177267429,0.11558784364761197,0.11996485583256751,-0.10916909140587007,-0.3048238572510418,0.1143800000855487,-0.10652276052134851,-0.3059205763996803,0.019167085327443753,0.0030887880128806712,0.006276661035644033,False
1.8840000000000001,0.0717096517231402,0.9006940482683023,-1.4019622581310036,0.0802344279479591,0.9114367054832765,-1.3885632945167234,0.0824419824340558,0.11485866700197872,0.11415379026545935,0.08380827982934996,0.11640038865187502,0.11640038865187502,0.08325620822645308,0.11618917151147823,0.11563173463896224,0.08325620822645308,0.11618917151147823,0.11563173463896224,0.11985599267465517,-0.10911825445961294,-0.30484211594207467,0.11426877506396373,-0.10647100864973069,-0.3059365136277855,0.01917312493201036,0.003048094245260807,0.006278743289994346,False
1.8860000000000001,0.07187461078066601,0.9009238651108662,-1.4017338399048274,0.08040206390539308,0.9116695332019349,-1.3883304667980652,0.0824795287629067,0.11490842128191932,0.11420911308814911,0.08382762191258436,0.11642725265636716,0.11642725265636716,0.08328677483320117,0.11622690970034522,0.11567516788942789,0.08328677483320117,0.11622690970034522,0.11567516788942789,0.11974706840052954,-0.10906739307386859,-0.30486033214587815,0.11415751280316806,-0.10641924468540095,-0.30595240079470987,0.019179083663118678,0.0030073820888456304,0.00628079896168472,False
1.8880000000000001,0.07203964428111255,0.9011537805545085,-1.4015053119310112,0.08056973821280254,0.911902414184448,-1.388097585815552,0.08251675022327147,0.11495772182115714,0.11426398690801351,0.08384662978559998,0.11645365248,0.11645365248,0.08331701162111382,0.11626418611095951,0.11571814313442,0.08331701162111382,0.11626418611095951,0.11571814313442,0.11963808344106559,-0.10901650747019213,-0.3048785057139301,0.11404621375836342,-0.10636746885940915,-0.3059682377936775,0.019184961479796852,0.0029666519013035624,0.006282828034840146,False
1.8900000000000001,0.07220475157428644,0.9013837936911469,-1.4012766751082348,0.08073745020165236,0.912135347502295,-1.387864652497705,0.08255364658694175,0.11500656831921836,0.11431841138816506,0.08386530333398437,0.11647958796386715,0.11647958796386715,0.08334691840585291,0.11630100051784063,0.11576066011218111,0.08334691840585291,0.11630100051784063,0.11576066011218111,0.11952903822766947,-0.1089655978703647,-0.30489663649843424,0.11393487838511396,-0.1063156814029143,-0.30598402451874873,0.01919075834157761,0.0029259040460936237,0.006284830493756295,False
1.8920000000000001,0.07236993200954193,0.9016139036121038,-1.4010479303358456,0.08090519920318046,0.9123683322266396,-1.3876316677733604,0.08259021762774964,0.11505496047845881,0.1143723861945514,0.08388364244535002,0.11650505895187502,0.11650505895187502,0.08337649500511929,0.11633735269833065,0.11580271856378929,0.08337649500511929,0.11633735269833065,0.11580271856378929,0.1194199331922757,-0.1089146644963911,-0.3049147243523218,0.11382350713934347,-0.1062638825471824,-0.3059997608648215,0.019196474208496978,0.0028851388928817488,0.006286806322899315,False
1.8940000000000001,0.07253518493578506,0.9018441094081119,-1.4008190785138537,0.0810729845484021,0.9126013674283362,-1.3873986325716636,0.08262646312156767,0.11510289800406402,0.11442591099595535,0.08390164700933433,0.11653006529074217,0.11653006529074217,0.08340574123865535,0.116373242432602,0.1158443182331601,0.08340574123865535,0.116373242432602,0.1158443182331601,0.11931076876734395,-0.10886370757049801,-0.3049327691292546,0.11371210047733202,-0.1062120725235844,-0.3060154467276328,0.019202109041095705,0.002844356817991332,0.006288755506905615,False
1.8960000000000001,0.07270050970147768,0.90207441016932,-1.4005901205429256,0.08124080556811394,0.912834452177936,-1.387165547822064,0.08266238284630886,0.11515038060404954,0.11447898546399486,0.08391931691759999,0.11655460682999996,0.11655460682999996,0.08343465692824448,0.11640866950366596,0.11588545886704184,0.08343465692824448,0.11640866950366596,0.11588545886704184,0.11920154538585624,-0.10881272731513172,-0.30495077068362675,0.11360065885571234,-0.10616025156359357,-0.30603108200376006,0.019207662800418246,0.0028035582048954017,0.006290678030582509,False
1.8980000000000001,0.07286590565464153,0.9023048049852985,-1.4003610573243794,0.0814086615928978,0.9130675855456916,-1.3869324144543087,0.08269797658192662,0.1151974079892606,0.11453160927312296,0.08393665206383438,0.11657868342199218,0.11657868342199218,0.0834632418977086,0.1164436336973538,0.11592614021501747,0.0834632418977086,0.1164436336973538,0.11592614021501747,0.11909226348131392,-0.10876172395295618,-0.3049687288705675,0.11348918273146694,-0.1061084198987837,-0.30604666659062274,0.01921313544801286,0.002762743444751222,0.006292573878907735,False
1.9000000000000001,0.07303137214286236,0.9025352929450453,-1.4001318897601782,0.08157655195312502,0.9133007666015627,-1.3866992333984374,0.08273324411041484,0.11524397987337212,0.11458378210062796,0.08395365234374996,0.11660229492187496,0.11660229492187496,0.0834914959729116,0.11647813480232723,0.11596636202951044,0.0834914959729116,0.11647813480232723,0.11596636202951044,0.11898292348773469,-0.10871069770685084,-0.30498664354594324,0.11337767256192474,-0.1060565777608266,-0.3060622003864841,0.019218526945931805,0.002721912936983832,0.006294443037029662,False
1.9020000000000001,0.07319690851329397,0.9027658731369911,-1.3999026187529249,0.08174447597896035,0.9135339944152228,-1.3864660055847773,0.08276818521580782,0.1152900959728888,0.11463550362663309,0.08397031765508442,0.1166254411876172,0.1166254411876172,0.08351941898175702,0.11651217261008108,0.11600612406576899,0.08351941898175702,0.11651217261008108,0.11600612406576899,0.11887352583964961,-0.10865964879990869,-0.30500451456636013,0.11326612880475764,-0.10600472538149003,-0.3060776832904518,0.01922383725673055,0.0026810670899241724,0.006296285490267387,False
