time,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,tau_model1,tau_model2,residual1,residual2,residual_norm
1.828,8.861495310561624,-13.528972292686545,9.399361078337572,-24.93285273751251,-29.058552258370117,138.22024253535702,-0.6806712776234781,0.207070383273956,0.025526450191823803,0.4550999493866081,0.41671333963852686,-0.24071828533819506,-1.1229110674538287,-0.007311280774456992,-0.680671277623478,0.20707038327395602,1.1102230246251565e-16,2.7755575615628914e-17,1.1443916996305594e-16
1.829,8.870865613087703,-13.553766925181522,9.370302526079202,-24.79463249497715,-28.846523241251607,138.13768628746203,-0.6850841557017715,0.20998339235830868,0.025943910271707803,0.4580727315347971,0.41592562491728724,-0.24328808621622908,-1.1269536908907665,-0.004801252960259324,-0.6850841557017715,0.2099833923583087,0.0,2.7755575615628914e-17,2.7755575615628914e-17
1.83,8.880207069090542,-13.578423419990212,9.341456002837951,-24.65649480868969,-28.593110796397397,137.95567111162828,-0.6894039906625755,0.21287762799308493,0.026861284667468687,0.4608390677491641,0.4146294481820315,-0.24565356099817828,-1.1308947235120759,-0.002307878757900975,-0.6894039906625757,0.21287762799308485,-2.220446049250313e-16,-8.326672684688674e-17,2.3714374201337736e-16
1.831,8.889519931982584,-13.60294195912779,9.312862892041554,-24.518539137578063,-28.300779258178185,137.68118161765838,-0.6936319083015436,0.2157524718921674,0.028256755632075463,0.4634051220605107,0.4128466345074931,-0.24782087767118477,-1.134735298441112,0.00016822750284143222,-0.6936319083015435,0.21575247189216737,1.1102230246251565e-16,-2.7755575615628914e-17,1.1443916996305594e-16
1.832,8.898804494095367,-13.627322817083751,9.284562112783377,-24.380857955960405,-27.97192599573575,137.32098962209238,-0.6977690317889935,0.21860733933788745,0.03010863463435177,0.46577710723447235,0.41059887991775745,-0.24979625293626348,-1.1384765463411026,0.0026264850396786805,-0.6977690317889934,0.21860733933788756,1.1102230246251565e-16,1.1102230246251565e-16,1.5700924586837752e-16
1.833,8.908061084282155,-13.65156635405009,9.25659018678764,-24.24353696633831,-27.60887564275719,136.88163679916568,-0.7018164786978593,0.2214416781726814,0.03239542763877592,0.46796125316773013,0.40790768610631944,-0.2515859206044755,-1.1421195924429546,0.00506634560942672,-0.7018164786978592,0.22144167817268137,1.1102230246251565e-16,-2.7755575615628914e-17,1.1443916996305594e-16
1.834,8.9172900655933,-13.67567300937963,9.228981311144883,-24.106655329539144,-27.21387559962931,136.3694211061435,-0.7057753582372069,0.2242549677780702,0.03509589213083751,0.4699637783889731,0.4047943034105776,-0.25319610309785057,-1.145665553778622,0.007487292486947645,-0.7057753582372068,0.22425496777807016,1.1102230246251565e-16,-2.7755575615628914e-17,1.1443916996305594e-16
1.835,8.926491833028845,-13.699643295288062,9.201767435545253,-23.970285908433002,-26.7890926882667,135.7903866227086,-0.7096467686844466,0.22704671804769788,0.038189086397951044,0.4717908645297345,0.40127968153077,-0.2546329859201867,-1.1491155366131678,0.00988883943815008,-0.7096467686844468,0.2270467180476979,-1.1102230246251565e-16,2.7755575615628914e-17,1.1443916996305594e-16
1.836,8.935666811371702,-13.723477790809874,9.174978342856987,-23.834495521810293,-26.33661084211243,135.15031645149998,-0.7134317950087583,0.22981646836043093,0.04165441159694553,0.4734486336154128,0.3973844274623294,-0.25590269494803136,-1.152470634068033,0.012270529693049575,-0.7134317950087581,0.229816468360431,2.220446049250313e-16,5.551115123125783e-17,2.2887833992611187e-16
1.837,8.944815453103717,-13.747177136015232,9.148641732014875,-23.699345205358792,-25.858429717621355,134.45472833909736,-0.717131506677757,0.23256378655880972,0.04547164714914073,0.47494312801643235,0.3931287701006485,-0.25701127638180526,-1.1557319239275463,0.014631934924182572,-0.717131506677757,0.23256378655880966,0.0,-5.551115123125783e-17,5.551115123125783e-17
